Gene_Variant,Annotation1,Annotation2,Annotation3,Annotation4,Annotation5,Annotation6,Annotation7,Annotation8,Annotation9,Annotation10
gene11_variant1,0.9371718127301243,0.041370015310499,0.7206337746800312,0.7193498076208789,0.08196814112578776,0.14402829873184497,0.5333203008702851,0.4133741138720666,0.11423223482578893,0.5056487586400324
gene11_variant2,0.5178101383325595,0.9421829030303014,0.008669226117075213,0.27217173322316446,0.5726386233735263,0.8000068120339532,0.8816789174900882,0.559731503319743,0.9055899648137891,0.9528630183723552
gene11_variant3,0.4779759789947433,0.9521838635745982,0.4671807490215987,0.11003932747324685,0.8373206245196756,0.3575648456041888,0.7204041391501247,0.11184107095884477,0.46890134941562767,0.03592757854174167
gene11_variant4,0.8445630456403964,0.7214503583598028,0.30902353406128125,0.6231326789416265,0.5504397687891771,0.21056754357360186,0.3112694384642458,0.8537289360867844,0.5857670758429975,0.23980205522687736
gene11_variant5,0.31188584577164247,0.5878770525915236,0.7530762557866938,0.5459399149761983,0.655164079837108,0.13227428531437224,0.7545253935867737,0.4818608347678981,0.14061211756279324,0.5250121316509617
gene11_variant6,0.7342910708697759,0.5762308921031464,0.9189383696101222,0.8163531467983364,0.035335970269653405,0.39058358128456727,0.6382008363167395,0.155299779009749,0.612384933985798,0.5983674629708345
gene11_variant7,0.6596657214127766,0.25898272001578004,0.2360832176061749,0.4627056768660749,0.23224079304330947,0.6376279110221167,0.6477463858090048,0.004722982774568729,0.11366067218526754,0.32703773085977283
gene11_variant8,0.9774634666144973,0.17792977255258058,0.6354320107100073,0.3845221384934707,0.3443074764557561,0.6193367971903452,0.22406946044243004,0.3459255144278992,0.4795891774963523,0.18914501371053283
gene11_variant9,0.1672004253396997,0.15571368004932362,0.6092878130454087,0.2970662149551987,0.21249127735463735,0.27493357990745004,0.752039551486886,0.4864593850577368,0.9966666006375777,0.8507174361782085
gene11_variant10,0.007394075657473742,0.9150174040858151,0.16392218894240107,0.44542216354148456,0.8371724567541593,0.05051254238091485,0.28248903413061544,0.7548005788171228,0.5418227927217557,0.3090200312494167
gene11_variant11,0.22438769884792387,0.7235094425817105,0.17377356030587576,0.20194537916773347,0.46417753794357164,0.1210875214900965,0.6756507773010195,0.1344270187433173,0.9679663735066574,0.07247129162746169
